"clusterName","Location","cifsServerName","cifsShareName","cifsSharePath","cifsShareComments","hostingVolume","hostingVolumeUsedSize(GB)"
"thunder","Brisbane","thunderSVM101","np0011_profiles1_sv","/np0011_profiles1_sv",,"np0011_profiles1_sv",
"thunder","Brisbane","AU2106NT0050","ContactCentresProfileU104Link5","/vol/AU2106NT0050_vol001/ContactCentresProfileU104Link5",,"AU2106NT0050_vol001","11"
"thunder","Brisbane","thunderSVM065","Trade2","/thunderSVM065_vol006/legacydata5/Trade2",,"thunderSVM065_vol006","11270"
"thunder","Brisbane","thunderSVM066","np0006_home2_dr","/thunderSVM066_vol004",,"thunderSVM066_vol004","705"
"thunder","Brisbane","thunderSVM065","Compass Hospitality Services","/thunderSVM065_vol003/legacydata2/Compass Hospitality Services","INC000019232475_Compass Hospitality Services","thunderSVM065_vol003","50460"
"thunder","Brisbane","thunderSVM065","Brendon & Amanda Work","/thunderSVM065_vol007/groupdata/Brendon & Amanda Work",,"thunderSVM065_vol007","44672"
"thunder","Brisbane","AU2106NT0050","Sales&ServiceProfileU104Link7","/vol/AU2106NT0050_vol001/Sales&ServiceProfileU104Link7",,"AU2106NT0050_vol001","11"
"thunder","Brisbane","AU2106NT0050","BTSS_Compliance","/AU2106NT0050_vol003/groupdata/Corporate/BTSS_Compliance",,"AU2106NT0050_vol003","216"
"thunder","Brisbane","thunderSVM086","np0003_home1","/thunderSVM086_vol001",,"thunderSVM086_vol001","1464"
"thunder","Brisbane","AU2106NT0050","AU2106NT0050_vol010","/AU2106NT0050_vol010",,"AU2106NT0050_vol010","0"
"thunder","Brisbane","AU2106NT0050","CENPR1","/AU2106NT0050_CENPR1",,"AU2106NT0050_CENPR1","2"
"thunder","Brisbane","thunderSVM077","test","/thunderSVM077_vol003",,"thunderSVM077_vol003","1882"
"thunder","Brisbane","thunderSVM073","gasper","/thunderSVM073_vol001/gasper",,"thunderSVM073_vol001","3274"
"thunder","Brisbane","thunderSVM052","thunderSVM052_vol001","/vol/thunderSVM052_vol001",,"thunderSVM052_vol001","694"
"thunder","Brisbane","AU2106NT0050","SP13BS1","/AU2106NT0050_SP13BS1",,"AU2106NT0050_SP13BS1","387"
"thunder","Brisbane","thunderSVM052","ContactCentresProfileU106Link8","/vol/thunderSVM052_vol001/ContactCentresProfileU106Link8",,"thunderSVM052_vol001","694"
"thunder","Brisbane","thunderSVM065","PROPNSWVIC","/thunderSVM065_vol005/legacydata4/PROPNSWVIC",,"thunderSVM065_vol005","13486"
"thunder","Brisbane","AU2106NT0050","ContactCentresProfileU106Link4","/vol/AU2106NT0050_vol001/ContactCentresProfileU106Link4",,"AU2106NT0050_vol001","11"
"thunder","Brisbane","thunderSVM065","Capps","/thunderSVM065_vol005/legacydata4/Capps",,"thunderSVM065_vol005","13486"
"thunder","Brisbane","thunderSVM050","RetailHomeU106Link4","/vol/thunderSVM050_vol001/RetailHomeU106Link4",,"thunderSVM050_vol001","6758"
"thunder","Brisbane","thunderSVM065","Pricing","/thunderSVM065_vol004/Pricing",,"thunderSVM065_vol004","9727"
"thunder","Brisbane","thunderSVM066","AppData","/thunderSVM066_vol001/Groupdata/AppData",,"thunderSVM066_vol001","90146"
